query_id;query_text;full_prompt_no_web;full_prompt_web_search;query_variant;query_topics;query_countries;query_time_collection_years;query_time_display;query_universe;query_analysis_units;abstract_generated_query;abstract_query_generator_model;abstract_source_hash;source_dataset_id;source_title;source_doi;source_portal_url;source_row
1;Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, and Elections in Germany during the 1970s, matching this research need: Survey data on West German federal election behavior and political attitudes, including party preference and identification, candidate evaluations, issue competence, democracy attitudes, vote splitting, economic expectations, social class, and family political socialization.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, and Elections in Germany during the 1970s, matching this research need: Survey data on West German federal election behavior and political attitudes, including party preference and identification, candidate evaluations, issue competence, democracy attitudes, vote splitting, economic expectations, social class, and family political socialization.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, and Elections in Germany during the 1970s, matching this research need: Survey data on West German federal election behavior and political attitudes, including party preference and identification, candidate evaluations, issue competence, democracy attitudes, vote splitting, economic expectations, social class, and family political socialization.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Political behaviour and attitudes"", ""Government, political systems and organisations"", ""Elections""]";"[""Germany""]";"[""1971"", ""1972""]";1970s;;;Survey data on West German federal election behavior and political attitudes, including party preference and identification, candidate evaluations, issue competence, democracy attitudes, vote splitting, economic expectations, social class, and family political socialization.;gpt-5.4;9d238aeee4fef67cf1d97092e0b6bd2714bbdc18b8f5cc614bb56e93f7e73b6c;ZA0840;Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972);"[""10.4232/1.0840""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0840&db=D;2
2;Can you find datasets about Compulsory and pre-school education and Children in Hesse during the 1960s, matching this research need: survey data on political socialization in preschool children and parents, focusing on family authority, attitudes to authority and punishment, child-rearing practices, role models like police, and demographic background;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Compulsory and pre-school education and Children in Hesse during the 1960s, matching this research need: survey data on political socialization in preschool children and parents, focusing on family authority, attitudes to authority and punishment, child-rearing practices, role models like police, and demographic background
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Compulsory and pre-school education and Children in Hesse during the 1960s, matching this research need: survey data on political socialization in preschool children and parents, focusing on family authority, attitudes to authority and punishment, child-rearing practices, role models like police, and demographic background
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Compulsory and pre-school education"", ""Children""]";"[""Hesse""]";"[""1969"", ""1969""]";1960s;;;survey data on political socialization in preschool children and parents, focusing on family authority, attitudes to authority and punishment, child-rearing practices, role models like police, and demographic background;gpt-5.4;33519b4532bbe7e30faad24eb013c9da01540fe591fd11d0fa4ab4c552cfd614;ZA0529;Political Socialization in Pre-School Age;"[""10.4232/1.0529""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0529&db=D;3
3;Can you find datasets about HISTORY in Germany, England, Sweden, and United States of America during the 1950s and 1960s and 1970s and 1980s and 1990s and 2000s, matching this research need: Long-run comparative time-series data on violent crime and social integration, linking homicide, assault, imprisonment, inequality, unemployment, precarious work, welfare, family change, migration, and perceived security in Germany, Britain, and Sweden, 1950s-2000s;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about HISTORY in Germany, England, Sweden, and United States of America during the 1950s and 1960s and 1970s and 1980s and 1990s and 2000s, matching this research need: Long-run comparative time-series data on violent crime and social integration, linking homicide, assault, imprisonment, inequality, unemployment, precarious work, welfare, family change, migration, and perceived security in Germany, Britain, and Sweden, 1950s-2000s
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about HISTORY in Germany, England, Sweden, and United States of America during the 1950s and 1960s and 1970s and 1980s and 1990s and 2000s, matching this research need: Long-run comparative time-series data on violent crime and social integration, linking homicide, assault, imprisonment, inequality, unemployment, precarious work, welfare, family change, migration, and perceived security in Germany, Britain, and Sweden, 1950s-2000s
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""HISTORY""]";"[""Germany"", ""England"", ""Sweden"", ""United States of America""]";"[""1950"", ""2004""]";1950s and 1960s and 1970s and 1980s and 1990s and 2000s;;;Long-run comparative time-series data on violent crime and social integration, linking homicide, assault, imprisonment, inequality, unemployment, precarious work, welfare, family change, migration, and perceived security in Germany, Britain, and Sweden, 1950s-2000s;gpt-5.4;71882abf71076d2b6facbb8b42f935aaaa33ff998ed4baf30214a205fbd7a6d6;ZA8194;Social Change and Violent Crime;"[""10.4232/1.8194""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8194&db=D;4
4;Can you find datasets about Social conditions and indicators, Political behaviour and attitudes, Youth, and Economic systems and development in Berlin during the 1950s, matching this research need: Survey data on Berlin youth and young refugees comparing East and West Germany: economic and political attitudes, youth unemployment, rearmament, migration intentions, youth programs, organizational membership, party preference, and refugee integration.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Social conditions and indicators, Political behaviour and attitudes, Youth, and Economic systems and development in Berlin during the 1950s, matching this research need: Survey data on Berlin youth and young refugees comparing East and West Germany: economic and political attitudes, youth unemployment, rearmament, migration intentions, youth programs, organizational membership, party preference, and refugee integration.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Social conditions and indicators, Political behaviour and attitudes, Youth, and Economic systems and development in Berlin during the 1950s, matching this research need: Survey data on Berlin youth and young refugees comparing East and West Germany: economic and political attitudes, youth unemployment, rearmament, migration intentions, youth programs, organizational membership, party preference, and refugee integration.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Social conditions and indicators"", ""Political behaviour and attitudes"", ""Youth"", ""Economic systems and development""]";"[""Berlin""]";"[""1955"", ""1955""]";1950s;;;Survey data on Berlin youth and young refugees comparing East and West Germany: economic and political attitudes, youth unemployment, rearmament, migration intentions, youth programs, organizational membership, party preference, and refugee integration.;gpt-5.4;18d36c89c93f065b85a4771e33efe20a95862966b650224eb06903750330c357;ZA0590;Political Situation in West Berlin (Young People from the GDR);"[""10.4232/1.0590""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0590&db=D;6
5;Can you find datasets about Media, POLITICS, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 2010s, matching this research need: survey data on opinions about Germany’s current situation, trust in democracy and politics, views of parties and politicians, political participation, and media use;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Media, POLITICS, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 2010s, matching this research need: survey data on opinions about Germany’s current situation, trust in democracy and politics, views of parties and politicians, political participation, and media use
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Media, POLITICS, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 2010s, matching this research need: survey data on opinions about Germany’s current situation, trust in democracy and politics, views of parties and politicians, political participation, and media use
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Media"", ""POLITICS"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]";"[""Germany""]";"[""2016"", ""2016""]";2010s;;;survey data on opinions about Germany’s current situation, trust in democracy and politics, views of parties and politicians, political participation, and media use;gpt-5.4;fb4ed7d8bcc77d567060bc5ff9be7dd638c40d3e6699b19addae55231ddecdf1;ZA6621;General Public´s Trust in Politics;"[""10.4232/1.12710""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6621&db=D;7
6;Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: survey data on TV viewing behavior and audience evaluations of specific television programs and series in the DDR, including reception frequency, perceived realism, moderator and character ratings, entertainment value, demographics, and reception conditions;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: survey data on TV viewing behavior and audience evaluations of specific television programs and series in the DDR, including reception frequency, perceived realism, moderator and character ratings, entertainment value, demographics, and reception conditions
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: survey data on TV viewing behavior and audience evaluations of specific television programs and series in the DDR, including reception frequency, perceived realism, moderator and character ratings, entertainment value, demographics, and reception conditions
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Media""]";"[""German Democratic Republic (1949-1990)""]";"[""1988"", ""1988""]";1980s;;;survey data on TV viewing behavior and audience evaluations of specific television programs and series in the DDR, including reception frequency, perceived realism, moderator and character ratings, entertainment value, demographics, and reception conditions;gpt-5.4;1f39a8185fbae01d2125aae16096c1d04a9c9a1ad5242ba21595078ed3b6cc0c;ZA7315;Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88);"[""10.4232/1.10556""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7315&db=D;8
7;Can you find datasets about Working conditions and Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s, matching this research need: European establishment-level survey data on occupational safety and health management, especially psychosocial risks like stress, violence and harassment, worker participation, risk assessments, musculoskeletal prevention, and organizational drivers/barriers across sectors and countries.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Working conditions and Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s, matching this research need: European establishment-level survey data on occupational safety and health management, especially psychosocial risks like stress, violence and harassment, worker participation, risk assessments, musculoskeletal prevention, and organizational drivers/barriers across sectors and countries.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Working conditions and Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s, matching this research need: European establishment-level survey data on occupational safety and health management, especially psychosocial risks like stress, violence and harassment, worker participation, risk assessments, musculoskeletal prevention, and organizational drivers/barriers across sectors and countries.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Working conditions"", ""Occupational health""]";"[""Belgium"", ""Denmark"", ""Germany"", ""Greece"", ""Spain"", ""Finland"", ""France"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Austria"", ""Portugal"", ""Sweden"", ""United Kingdom"", ""Bulgaria"", ""Cyprus"", ""Czech Republic"", ""Estonia"", ""Hungary"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Turkey"", ""Croatia"", ""Switzerland"", ""Norway"", ""Albania"", ""Iceland"", ""Montenegro"", ""North Macedonia"", ""Serbia""]";"[""2014"", ""2014""]";2010s;;;European establishment-level survey data on occupational safety and health management, especially psychosocial risks like stress, violence and harassment, worker participation, risk assessments, musculoskeletal prevention, and organizational drivers/barriers across sectors and countries.;gpt-5.4;bd7623d867eabc398a92b0d384b3f49b5bf00c445d6c4888924837bac17e0c55;ZA6865;Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2);"[""10.4232/1.12965""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6865&db=D;9
8;Can you find datasets about Reproductive health in Germany during the 1970s, matching this research need: Survey data on attitudes toward family planning, contraception, abortion law reform, sexual morals, fertility intentions, doctor counseling, and women’s changing roles, with demographic variables such as age, sex, marital status, children, religion, education, occupation, and income.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Reproductive health in Germany during the 1970s, matching this research need: Survey data on attitudes toward family planning, contraception, abortion law reform, sexual morals, fertility intentions, doctor counseling, and women’s changing roles, with demographic variables such as age, sex, marital status, children, religion, education, occupation, and income.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Reproductive health in Germany during the 1970s, matching this research need: Survey data on attitudes toward family planning, contraception, abortion law reform, sexual morals, fertility intentions, doctor counseling, and women’s changing roles, with demographic variables such as age, sex, marital status, children, religion, education, occupation, and income.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Reproductive health""]";"[""Germany""]";"[""1972"", ""1972""]";1970s;;;Survey data on attitudes toward family planning, contraception, abortion law reform, sexual morals, fertility intentions, doctor counseling, and women’s changing roles, with demographic variables such as age, sex, marital status, children, religion, education, occupation, and income.;gpt-5.4;a067feaa94b8004596e283536d82d42d97945dd730394fd98b4df6fa82de6254;ZA0682;Family Planning as Health Task;"[""10.4232/1.12464"", ""10.4232/1.0682""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0682&db=D;10
9;Can you find datasets about Employment, Leisure, tourism and sport, Reproductive health, Specific diseases, disorders and medical conditions, Family life and marriage, and Gender and gender roles in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on women’s health, menstruation, contraception, fertility, sexual relationships, partnership quality, division of household and childcare, work conditions, housing, and family life, including violence, finances, and work-family balance.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Employment, Leisure, tourism and sport, Reproductive health, Specific diseases, disorders and medical conditions, Family life and marriage, and Gender and gender roles in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on women’s health, menstruation, contraception, fertility, sexual relationships, partnership quality, division of household and childcare, work conditions, housing, and family life, including violence, finances, and work-family balance.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Employment, Leisure, tourism and sport, Reproductive health, Specific diseases, disorders and medical conditions, Family life and marriage, and Gender and gender roles in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on women’s health, menstruation, contraception, fertility, sexual relationships, partnership quality, division of household and childcare, work conditions, housing, and family life, including violence, finances, and work-family balance.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Employment"", ""Leisure, tourism and sport"", ""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage"", ""Gender and gender roles""]";"[""German Democratic Republic (1949-1990)""]";"[""1988"", ""1989""]";1980s;;;Survey data on women’s health, menstruation, contraception, fertility, sexual relationships, partnership quality, division of household and childcare, work conditions, housing, and family life, including violence, finances, and work-family balance.;gpt-5.4;b8847557e02656f474bbf5d2816910e80deab6008ae5cf96c97248234410ebb5;ZA6370;Partnership Conflicts and Psychosomatic Gynecological Illnesses 1988/89 (Additional Survey: Sterile Women);"[""10.4232/1.6370""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6370&db=D;11
10;Can you find datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in Germany during the 1980s, matching this research need: Survey data on attitudes toward sexuality, sexual behavior, condom use, AIDS knowledge and testing, partnership dynamics, homosexuality, prostitution contacts, and changes in sexual practices due to AIDS, with family, religion, and values measures.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in Germany during the 1980s, matching this research need: Survey data on attitudes toward sexuality, sexual behavior, condom use, AIDS knowledge and testing, partnership dynamics, homosexuality, prostitution contacts, and changes in sexual practices due to AIDS, with family, religion, and values measures.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in Germany during the 1980s, matching this research need: Survey data on attitudes toward sexuality, sexual behavior, condom use, AIDS knowledge and testing, partnership dynamics, homosexuality, prostitution contacts, and changes in sexual practices due to AIDS, with family, religion, and values measures.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""]";"[""Germany""]";"[""1989"", ""1989""]";1980s;;;Survey data on attitudes toward sexuality, sexual behavior, condom use, AIDS knowledge and testing, partnership dynamics, homosexuality, prostitution contacts, and changes in sexual practices due to AIDS, with family, religion, and values measures.;gpt-5.4;fc80b1c708d77cab1c086972f64b58a86bba8b4fdf8a81b0a843f05926ce1ca3;ZA2235;Sexual Conduct of Men and Women in the Federal Republic of Germany 1989;"[""10.4232/1.2235""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=2235&db=D;12
