query_id;query_variant;mode;model;rank;returned_title;returned_url_or_doi;matched_dataset_id;match_method;link_valid;source_dataset_id;is_source_dataset;is_strict_source_dataset;is_title_source_dataset;is_gesis_relevant_dataset;is_strict_gesis_relevant_dataset;is_title_gesis_relevant_dataset;title_identifier_conflict;justification
1;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Federal Parliament Election 1972 (Panel: 2nd Wave, October 1971 - January 1972);https://doi.org/10.4232/1.0842;ZA0842;doi;True;ZA0840;0;0;1;0;0;1;1;This dataset represents the second wave of the 1972 German Federal Parliament Election panel survey conducted between October 1971 and January 1972, archived at GESIS under study number ZA0842 with DOI 10.4232/1.0842.
2;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Political Socialization in Pre-School Age;https://doi.org/10.4232/1.1125;ZA1125;doi;True;ZA0529;0;0;1;0;0;1;1;This dataset, archived in the GESIS Data Archive for the Social Sciences and listed in the CESSDA Data Catalogue under study number ZA1125, investigates authority structures, child-rearing practices, and early political socialization among pre-school aged children and their parents.
3;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Sozialer Wandel und Gewaltkriminalität (Social Change and Violent Crime);https://doi.org/10.4232/1.8194;ZA8194;doi;True;ZA8194;1;1;1;1;1;1;0;This dataset (ZA8194), authored by Helmut Thome and Christoph Birkel and distributed by the GESIS Data Archive for the Social Sciences, contains time-series data analyzing social change and violent crime in Germany, England, and Sweden.
4;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Social Science Telephone Interviews among the General Public via the Mobile Phone Net (CELLA 1);https://doi.org/10.4232/1.4875;ZA4875;doi;True;ZA4875;1;1;1;1;1;1;0;This is the official DOI landing page for the CELLA 1 dataset (GESIS Study Number ZA4875), authored by Michael Häder, Sabine Häder, and Siegfried Gabler and distributed by the GESIS Data Archive for the Social Sciences.
5;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Political Situation in West Berlin (Young People from the GDR);https://datacatalogue.cessda.eu/;ZA0590;title_exact;False;ZA0590;1;0;1;1;0;1;0;This social science survey dataset is cataloged and accessible through the CESSDA Data Catalogue (Consortium of European Social Science Data Archives).
6;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;"Trust in others, legal system and politics; European comparison";https://opendata.cbs.nl/statline/#/CBS/en/dataset/80518ENG/table;;unmatched;False;ZA6621;0;0;0;0;0;0;0;Dataset provided by Statistics Netherlands (CBS) measuring public levels of trust in politics, political institutions, and the legal system across European countries.
6;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;2;Political trust;https://doi.org/10.17026/dans-xbv-y5ah;ZA6975;title_fuzzy;False;ZA6621;0;0;0;0;0;0;0;Dataset published via DANS and the LISS Data Archive evaluating general public trust in political institutions, politicians, and politics in general.
6;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;3;Trust in government;https://www.oecd.org/governance/trust-in-government/;ZA8459;title_fuzzy;False;ZA6621;0;0;0;0;0;0;0;OECD indicator and dataset tracking public trust and confidence in national political institutions and governance across OECD member countries.
7;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Sofortresonanzen DDR Fernsehen 5. Woche 1988 (SFR 5/88);https://doi.org/10.4232/1.10556;ZA7315;doi;True;ZA7315;1;1;1;1;1;1;0;This dataset contains survey data on television viewership and program evaluation in the German Democratic Republic for the 5th week of 1988, published by the GESIS Data Archive under study number ZA7315.
8;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2);https://doi.org/10.4232/1.12965;ZA6865;doi;True;ZA6865;1;1;1;1;1;1;0;This is the official GESIS Data Archive dataset landing page DOI for the Second European Survey of Enterprises on New and Emerging Risks 2014 (ESENER-2).
8;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;2;Second European Survey of Enterprises on New and Emerging Risks, 2014;https://doi.org/10.5255/UKDA-SN-7808-1;ZA6865;title_fuzzy;False;ZA6865;1;0;1;1;0;1;0;This is the UK Data Service DOI for the 2014 ESENER-2 dataset collection.
9;V3_TITLE_ONLY;WEB_SEARCH;gemini-3.6-flash;1;Family Planning as Health Task;https://doi.org/10.4232/1.12464;ZA0682;doi;True;ZA0682;1;1;1;1;1;1;0;This dataset (study number ZA0682) was created by the Federal Centre for Health Education (Bundeszentrale für gesundheitliche Aufklärung - BZgA) and is cataloged and available via GESIS and the CESSDA Data Catalogue.
