provider;query_id;query_text;mode;model;hit_at_k;strict_hit_at_k;title_match_hit_at_k;gesis_relevant_hit_at_k;strict_gesis_relevant_hit_at_k;source_hit_at_k;strict_source_hit_at_k;mrr;strict_mrr;selected_rank;selected_returned_title;selected_returned_url_or_doi;selected_matched_dataset_id;selected_match_method;selected_is_relevant;selected_is_strict_relevant;selected_is_gesis_relevant_dataset;selected_is_strict_gesis_relevant_dataset;selected_is_source_dataset;selected_is_strict_source_dataset;selected_link_valid
openai;1;Can you find datasets about Political behaviour and attitudes, Government, political systems and organisations, and Elections in Germany during the 1970s?;WEB_SEARCH;chat-latest;1;1;1;1;1;0;0;0.3333333333333333;0.3333333333333333;;;;;;;;;;;;
openai;2;Can you find datasets about Compulsory and pre-school education and Children in Hesse during the 1960s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;3;Can you find datasets about HISTORY in Germany, England, Sweden, and United States of America during the 1950s and 1960s and 1970s and 1980s and 1990s and 2000s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;4;Can you find datasets about Social conditions and indicators, Political behaviour and attitudes, Youth, and Economic systems and development in Berlin during the 1950s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;5;Can you find datasets about Media, POLITICS, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 2010s?;WEB_SEARCH;chat-latest;1;1;1;1;1;0;0;0.3333333333333333;0.25;;;;;;;;;;;;
openai;6;Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;7;Can you find datasets about Working conditions and Occupational health in Belgium, Denmark, Germany, Greece, Spain, Finland, France, Ireland, Italy, Luxembourg, Netherlands, Austria, Portugal, Sweden, United Kingdom, Bulgaria, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Romania, Slovakia, Slovenia, Turkey, Croatia, Switzerland, Norway, Albania, Iceland, Montenegro, North Macedonia, and Serbia during the 2010s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;8;Can you find datasets about Reproductive health in Germany during the 1970s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;9;Can you find datasets about Employment, Leisure, tourism and sport, Reproductive health, Specific diseases, disorders and medical conditions, Family life and marriage, and Gender and gender roles in German Democratic Republic (1949-1990) during the 1980s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;10;Can you find datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in Germany during the 1980s?;WEB_SEARCH;chat-latest;1;1;1;1;1;1;1;0.5;0.5;;;;;;;;;;;;
openai;11;Can you find datasets about HISTORY in South Carolina and Massachusetts during the 1730s and 1740s and 1750s and 1760s and 1770s and 1780s and 1790s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;12;Can you find datasets about Leisure, tourism and sport, Social behaviour and attitudes, Media, TRANSPORT AND TRAVEL, Consumption and consumer behaviour, Economic systems and development, and Economic conditions and indicators in Finland during the 1960s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;13;Can you find datasets about Employment and Higher and further education in Bavaria during the 1970s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;14;Can you find datasets about Social conditions and indicators, Political behaviour and attitudes, Government, political systems and organisations, and Elections in Germany during the 1990s?;WEB_SEARCH;chat-latest;1;1;1;1;1;0;0;0.25;0.25;;;;;;;;;;;;
openai;15;Can you find datasets about Youth, EDUCATION, Higher and further education, Migration, Social behaviour and attitudes, Leisure, tourism and sport, Children, and Family life and marriage in Germany during the 2010s?;WEB_SEARCH;chat-latest;1;1;1;1;1;0;0;0.3333333333333333;0.2;;;;;;;;;;;;
openai;16;Can you find datasets about Community, urban and rural life, Cultural activities and participation, Political behaviour and attitudes, Government, political systems and organisations, and Housing in North Rhine-Westphalia during the 2000s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;17;Can you find datasets about Business/industrial management and organisation and Economic systems and development in Belgium, Germany, Denmark, France, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, and Great Britain during the 1990s?;WEB_SEARCH;chat-latest;1;1;1;1;1;0;0;0.3333333333333333;0.3333333333333333;;;;;;;;;;;;
openai;18;Can you find datasets about HISTORY in German Reich (1871-1945) during the 1900s and 1910s and 1920s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;19;Can you find datasets about Migration, Community, urban and rural life, and Government, political systems and organisations in North Rhine-Westphalia during the 2000s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;20;Can you find datasets about Employment, Community, urban and rural life, TRADE, INDUSTRY AND MARKETS, and Specific social services: use and availability in Lagos during the 1980s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;21;Can you find datasets about HISTORY in German Reich (1871-1945) during the 1870s and 1880s and 1890s and 1900s and 1910s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
openai;22;Can you find datasets about Crime and law enforcement in Germany during the 1970s?;WEB_SEARCH;chat-latest;0;0;0;0;0;0;0;0.0;0.0;;;;;;;;;;;;
